Hips	Spine	Spine1	Spine2	Spine3	Neck	Head	RightShoulder	RightArm	RightForeArm	RightHand	LeftShoulder	LeftArm	LeftForeArm	LeftHand	RightUpLeg	RightLeg	RightFoot	LeftUpLeg	LeftLeg	LeftFoot	
0.772153 0.0363591 -0.0876792 0.628308	0.736507 0.0511998 -0.0838441 0.669258	0.727541 0.052107 -0.0887545 0.6783	0.644454 0.157029 -0.13261 0.736503	0.624639 0.16793 -0.150692 0.747608	0.599984 0.137427 -0.18995 0.764887	0.61756 0.114262 -0.321152 0.70882	0.643702 0.248111 -0.0611932 0.721349	0.485446 -0.198981 -0.498414 0.690168	0.508837 -0.127814 -0.591629 0.612147	0.604868 -0.0725861 -0.509914 0.607333	0.53988 0.0427583 -0.125116 0.831293	0.489649 0.518859 0.411353 0.567291	0.614559 0.362337 0.552807 0.430621	0.685747 0.30879 0.491564 0.43905	0.605249 -0.0799147 0.0675991 0.789124	0.598659 -0.0804747 0.0669314 0.794136	0.659124 -0.0922585 0.145707 0.731993	0.815547 0.0532623 -0.106015 0.566398	0.691591 0.0726306 -0.0938122 0.712479	0.718051 0.227911 -0.141956 0.642112	
0.772042 0.0347545 -0.0850895 0.62889	0.736865 0.0495112 -0.0818881 0.669234	0.728238 0.04979 -0.0874612 0.677894	0.644018 0.157804 -0.132845 0.736676	0.624007 0.169743 -0.150875 0.747689	0.600999 0.13989 -0.187917 0.764145	0.622164 0.113607 -0.313138 0.708484	0.644938 0.255913 -0.0633599 0.717321	0.491082 -0.190503 -0.502651 0.685484	0.513713 -0.116412 -0.597759 0.604343	0.614597 -0.0636559 -0.513739 0.595223	0.53868 0.0480086 -0.122243 0.832211	0.491682 0.523048 0.41028 0.562441	0.611967 0.375269 0.543796 0.434691	0.678009 0.319243 0.487511 0.448019	0.600235 -0.0800937 0.0688863 0.792816	0.593308 -0.0806906 0.0681861 0.798014	0.657497 -0.0921443 0.145305 0.733549	0.813209 0.0515161 -0.0969887 0.571516	0.71888 0.0654046 -0.088221 0.686405	0.740687 0.216898 -0.125237 0.623421	
0.772319 0.031253 -0.0819298 0.629154	0.737376 0.0463639 -0.0787298 0.669275	0.728858 0.0460719 -0.0849315 0.677812	0.643606 0.157545 -0.132513 0.737151	0.62372 0.170618 -0.150693 0.747766	0.603287 0.141886 -0.185924 0.76246	0.627244 0.112969 -0.305329 0.707515	0.647132 0.262025 -0.0642868 0.713042	0.495338 -0.182242 -0.507277 0.681248	-0.517295 0.104774 0.605 -0.596157	0.621879 -0.0549888 -0.519062 0.583796	0.537667 0.0535365 -0.119051 0.832991	0.494365 0.526589 0.408168 0.558306	0.609322 0.38784 0.533657 0.439906	0.668517 0.328731 0.483262 0.459869	0.596109 -0.0804911 0.0711867 0.79568	0.586929 -0.0813036 0.0702574 0.802476	0.655344 -0.092082 0.144689 0.735602	0.811244 0.0479472 -0.0862348 0.576322	0.741574 0.0573061 -0.0803205 0.663576	0.756582 0.197006 -0.108625 0.613982	
0.773 0.0265119 -0.0775898 0.629085	0.738198 0.042015 -0.0743878 0.669152	0.729724 0.0411616 -0.081259 0.677647	0.643689 0.156314 -0.13153 0.737516	0.624053 0.170544 -0.150123 0.74762	0.606715 0.142767 -0.183769 0.760094	0.633469 0.111996 -0.297542 0.705437	0.650659 0.266427 -0.0633113 0.708274	0.49927 -0.174777 -0.512013 0.676775	-0.520696 0.0932361 0.613032 -0.586834	0.626998 -0.0459789 -0.526623 0.572213	0.537549 0.0581065 -0.116138 0.833173	0.497999 0.529785 0.404909 0.554413	0.606864 0.400489 0.521975 0.445944	0.656679 0.337832 0.479652 0.473894	0.592486 -0.0813392 0.0748603 0.79796	0.579665 -0.0825245 0.0735516 0.807321	0.652401 -0.0921378 0.144033 0.738335	0.809048 0.0431497 -0.0750993 0.581326	0.758401 0.0491906 -0.0712888 0.646008	0.767282 0.168306 -0.0888167 0.612424	
0.773898 0.0203682 -0.072648 0.6288	0.739241 0.0365939 -0.0689772 0.668899	0.73085 0.0352912 -0.0764392 0.677325	0.644428 0.154173 -0.129715 0.737643	0.625077 0.169502 -0.148953 0.747235	0.610877 0.142327 -0.181227 0.757449	0.640844 0.110398 -0.289498 0.702369	0.655591 0.269028 -0.0607204 0.702949	0.502726 -0.168169 -0.51653 0.672446	-0.523829 0.0813451 0.622133 -0.576139	0.632001 -0.0381522 -0.536861 0.557584	0.538237 0.06145 -0.113145 0.8329	0.501358 0.532213 0.400908 0.551962	0.603946 0.412141 0.510079 0.452999	0.642499 0.344197 0.474778 0.493264	0.589258 -0.0816139 0.0784148 0.799978	0.571993 -0.0832744 0.0766491 0.812413	0.648494 -0.0924742 0.143629 0.741805	0.807597 0.0357709 -0.0629585 0.585273	0.767393 0.0398306 -0.060472 0.637075	0.772883 0.139446 -0.0614066 0.615984	
0.774776 0.0138355 -0.0675567 0.628464	0.740424 0.0308381 -0.063227 0.668449	0.73213 0.0291876 -0.0711585 0.676809	0.645726 0.151092 -0.127002 0.737617	0.626822 0.167363 -0.146742 0.746693	0.615846 0.140765 -0.178046 0.754466	0.648881 0.108152 -0.281204 0.6987	0.661833 0.270276 -0.0567683 0.696926	0.507248 -0.163951 -0.520649 0.666892	-0.528394 0.070567 0.631548 -0.562999	0.635122 -0.0315552 -0.547639 0.543798	0.539437 0.0635515 -0.109828 0.83241	0.504113 0.533386 0.396389 0.551584	0.600395 0.422085 0.498468 0.46141	0.628383 0.34916 0.469535 0.512599	0.586355 -0.0820601 0.0830063 0.801601	0.563787 -0.0843415 0.0806871 0.817631	0.643665 -0.0930993 0.142972 0.746048	0.807942 0.0241925 -0.0483349 0.586778	0.766575 0.0273938 -0.0465952 0.639876	0.768 0.107572 -0.0319295 0.630543	
0.775615 0.00741928 -0.0618806 0.628121	0.741648 0.0247885 -0.0570261 0.667901	0.73363 0.0229953 -0.0651632 0.676027	0.647953 0.147116 -0.123306 0.737095	0.629533 0.164166 -0.143485 0.745755	0.621599 0.137782 -0.174096 0.751213	0.657523 0.104744 -0.27267 0.694509	0.668792 0.270111 -0.0514747 0.69073	0.508163 -0.159096 -0.523994 0.664748	-0.529445 0.0568206 0.643694 -0.549651	0.639645 -0.0266296 -0.559229 0.526695	0.540995 0.0641747 -0.106157 0.831827	0.507439 0.534344 0.390342 0.55192	0.597415 0.431408 0.485581 0.470312	0.616372 0.355306 0.46193 0.529588	0.583755 -0.0826085 0.0886508 0.802837	0.554654 -0.0857278 0.0856381 0.823211	0.637459 -0.0935953 0.141713 0.751534	0.809947 0.00807403 -0.0306027 0.585649	0.756004 0.0107022 -0.0297856 0.653802	0.75063 0.0632859 -0.0148859 0.657517	
0.776048 0.000549156 -0.0552561 0.628248	0.742878 0.0180577 -0.0499614 0.667315	0.73559 0.0162156 -0.0581824 0.674728	0.650964 0.142276 -0.118717 0.736145	0.632919 0.160062 -0.139456 0.744544	0.627918 0.1335 -0.169385 0.7478	0.666717 0.0999835 -0.264043 0.689763	0.674853 0.269065 -0.0451921 0.685664	0.507828 -0.154837 -0.526552 0.663987	-0.529196 0.0426085 0.656413 -0.535965	0.644329 -0.0221684 -0.571984 0.507133	0.542109 0.0632903 -0.101543 0.831746	0.512387 0.535594 0.382407 0.551692	0.595528 0.441303 0.470137 0.479134	0.603678 0.361371 0.452393 0.548018	0.582155 -0.0827822 0.0945912 0.803303	0.544553 -0.0870495 0.0906795 0.829254	0.629658 -0.0952686 0.139836 0.758222	0.812317 -0.00965722 -0.0123506 0.583005	0.741088 -0.00819682 -0.0133645 0.671225	0.733634 0.0353935 -0.00990074 0.67855	
0.776114 -0.0075485 -0.0480464 0.628714	0.744012 0.0102857 -0.0420139 0.666764	0.737528 0.0086157 -0.0501467 0.673397	0.654252 0.137098 -0.113413 0.735049	0.636573 0.155678 -0.134947 0.743188	0.634457 0.128041 -0.164344 0.744353	0.675912 0.0941779 -0.255417 0.684861	0.679551 0.266377 -0.0384504 0.682477	0.505701 -0.150998 -0.528034 0.665317	-0.527046 0.0274996 0.670022 -0.52205	0.648986 -0.0186591 -0.585829 0.48505	0.543749 0.0619657 -0.0966163 0.831362	0.517473 0.536342 0.373491 0.552325	0.593963 0.450166 0.454165 0.488152	0.598762 0.369077 0.43631 0.561159	0.582507 -0.0809563 0.0981926 0.802801	0.533418 -0.0866877 0.0931717 0.836223	0.619604 -0.0973835 0.137658 0.766588	0.813356 -0.0284827 0.00578469 0.58104	0.725961 -0.0290069 0.00182281 0.687122	0.721911 0.0401271 -0.0144258 0.69067	
0.77648 -0.017119 -0.0401436 0.628629	0.745389 0.00140815 -0.0336246 0.66578	0.739439 3.75002e-05 -0.041581 0.671938	0.657877 0.131406 -0.107793 0.733697	0.640626 0.150875 -0.130178 0.741545	0.641371 0.122132 -0.159127 0.740544	0.684526 0.0880442 -0.246697 0.680304	0.683549 0.262762 -0.0307273 0.680274	0.504247 -0.149983 -0.52861 0.666192	-0.525891 0.0140962 0.683279 -0.50633	0.654862 -0.018101 -0.599938 0.459241	0.546199 0.0595776 -0.092391 0.83041	0.524057 0.537069 0.363133 0.552318	0.593794 0.458789 0.436566 0.496317	0.60073 0.379892 0.413998 0.568692	0.58504 -0.0770605 0.0992088 0.801216	0.521041 -0.0845333 0.0929238 0.844236	0.606632 -0.0998783 0.135892 0.776888	0.812334 -0.0356612 0.013597 0.581942	0.713005 -0.03733 0.00794189 0.70012	0.713553 0.048334 -0.0169902 0.698725	
0.777354 -0.0283121 -0.0309212 0.627664	0.747034 -0.00881359 -0.0239643 0.664296	0.741509 -0.0100091 -0.0319266 0.670109	0.662002 0.124705 -0.101597 0.732038	0.645202 0.145209 -0.124892 0.739616	0.648048 0.115813 -0.153495 0.736926	0.692493 0.0816842 -0.237395 0.676332	0.687835 0.258123 -0.0222303 0.678057	0.50286 -0.151153 -0.528487 0.667072	-0.525083 0.00193257 0.696347 -0.48927	0.660188 -0.0169122 -0.612719 0.434098	0.55005 0.0554309 -0.0892917 0.828492	0.533557 0.537712 0.350997 0.55044	0.595874 0.467708 0.416284 0.502883	0.604654 0.390436 0.389381 0.574748	0.590146 -0.0714316 0.0979436 0.798143	0.507123 -0.0808944 0.0902857 0.853306	0.590355 -0.103305 0.133901 0.789227	0.809024 -0.0316535 0.011989 0.5868	0.703127 -0.033179 0.0066958 0.710258	0.707274 0.0473234 -0.0199288 0.705072	
0.778607 -0.0396673 -0.0214103 0.625891	0.748745 -0.0191741 -0.0141566 0.66243	0.743529 -0.020363 -0.0222818 0.668022	0.666494 0.117 -0.0948036 0.730143	0.650276 0.138336 -0.118629 0.737517	0.654372 0.10862 -0.147539 0.733642	0.699902 0.0751701 -0.227822 0.672743	0.692549 0.252536 -0.0124825 0.675607	0.501332 -0.153787 -0.528105 0.667924	-0.524312 -0.00900085 0.708964 -0.471579	0.665435 -0.0169877 -0.624571 0.408434	0.554654 0.0501718 -0.0869093 0.826008	0.54249 0.537021 0.339074 0.549856	0.598241 0.474126 0.397468 0.509246	0.607181 0.396392 0.366345 0.583092	0.597686 -0.0660501 0.0979253 0.792982	0.491295 -0.0780384 0.0886679 0.862947	0.570019 -0.10765 0.131422 0.803877	0.803392 -0.0268241 0.0104006 0.594756	0.695278 -0.0281641 0.00587256 0.718165	0.704507 0.0446453 -0.0232511 0.70791	
0.780261 -0.0497132 -0.0116714 0.623367	0.750352 -0.0289318 -0.00506691 0.660386	0.745091 -0.0304542 -0.0137034 0.666126	0.670994 0.108054 -0.087569 0.728301	0.655515 0.129942 -0.111214 0.735558	0.660556 0.0998809 -0.140846 0.730652	0.706578 0.0676448 -0.218158 0.669761	0.697992 0.245427 -0.00153165 0.672733	0.500049 -0.158206 -0.5274 0.668409	-0.524141 -0.0188168 0.721158 -0.452606	0.671621 -0.0181605 -0.634873 0.381487	0.558404 0.0428458 -0.0846534 0.824126	0.551245 0.535096 0.327295 0.550163	0.601438 0.477986 0.380074 0.515117	0.611832 0.405407 0.339611 0.588193	0.607707 -0.0613979 0.100607 0.785366	0.474157 -0.0767104 0.0894816 0.872516	0.545331 -0.113066 0.12897 0.820486	0.795463 -0.0272049 0.0146393 0.605214	0.689319 -0.0291836 0.0101358 0.723799	0.703163 0.0407612 -0.02659 0.709361	
0.782061 -0.0567873 -0.00187049 0.620607	0.751704 -0.036762 0.0038104 0.658464	0.746086 -0.0385716 -0.00522855 0.664711	0.675154 0.0988335 -0.0797499 0.726663	0.66047 0.120904 -0.103158 0.73384	0.666302 0.09114 -0.133445 0.727961	0.712455 0.0608026 -0.208841 0.667155	0.703116 0.23724 0.0100961 0.670256	0.49831 -0.163147 -0.526405 0.669304	-0.52356 -0.0285381 0.733184 -0.433027	0.676691 -0.0185815 -0.644419 0.355622	0.562886 0.0339258 -0.0824687 0.82171	0.560966 0.532468 0.31517 0.549966	0.606327 0.48018 0.36308 0.519585	0.614786 0.413082 0.314101 0.593921	0.619901 -0.0577381 0.104195 0.775585	0.456093 -0.0770167 0.0908777 0.881924	0.515496 -0.120876 0.125836 0.838939	0.786639 -0.0301751 0.0210081 0.616317	0.684873 -0.0329942 0.0162251 0.727735	0.701645 0.0398166 -0.0287924 0.71083	
0.784494 -0.061053 0.00824831 0.617069	0.752932 -0.0431638 0.0118656 0.656574	0.746334 -0.0453966 0.00231947 0.664017	0.678818 0.0888635 -0.0723071 0.725314	0.664929 0.110832 -0.0953658 0.732455	0.671375 0.0815048 -0.125684 0.725821	0.71763 0.0528763 -0.199463 0.665151	0.707932 0.227753 0.0219465 0.668191	0.498124 -0.171356 -0.524924 0.668554	-0.525508 -0.0364946 0.744105 -0.410874	0.682233 -0.0175537 -0.651874 0.330621	0.565941 0.0226262 -0.0791561 0.820325	0.566913 0.526941 0.306038 0.554331	0.60832 0.478544 0.35058 0.527291	0.617483 0.41313 0.29804 0.599342	0.635422 -0.0539658 0.108717 0.762566	0.436744 -0.0781783 0.0928436 0.89136	0.48022 -0.127035 0.123875 0.859014	0.777185 -0.0367671 0.0296009 0.6275	0.681213 -0.0405646 0.024136 0.730562	0.700155 0.0379485 -0.0279426 0.712433	
0.787205 -0.0628607 0.0180398 0.613214	0.754005 -0.0480017 0.0197048 0.654816	0.746127 -0.050472 0.00995627 0.663813	0.681727 0.0791271 -0.0649303 0.724411	0.668663 0.100753 -0.0880522 0.731427	0.675871 0.0723651 -0.118077 0.723892	0.721869 0.0460685 -0.190989 0.663555	0.711255 0.217207 0.0337825 0.66768	0.497677 -0.180166 -0.522824 0.668216	-0.527424 -0.0443467 0.754264 -0.388513	0.68639 -0.0154037 -0.659305 0.306511	0.569278 0.0101282 -0.0765374 0.818512	0.571706 0.519589 0.298794 0.560269	0.609985 0.474067 0.34101 0.535622	0.618705 0.408554 0.288001 0.606088	0.651468 -0.0502766 0.112638 0.748581	0.418834 -0.0794874 0.0943226 0.899646	0.442612 -0.136935 0.120785 0.877926	0.768329 -0.0403182 0.0342249 0.637866	0.678053 -0.0444579 0.0286425 0.733108	0.698246 0.0376145 -0.0270603 0.714357	
0.789964 -0.0633466 0.0271174 0.609269	0.755007 -0.0518261 0.026796 0.653116	0.745821 -0.0544321 0.0170348 0.6637	0.683851 0.0698802 -0.0578198 0.723962	0.671522 0.090897 -0.0810747 0.730906	0.679544 0.063414 -0.110974 0.722415	0.72533 0.0400607 -0.183313 0.662335	0.713372 0.206338 0.0449076 0.668212	0.497155 -0.189531 -0.520499 0.667829	-0.529576 -0.0513262 0.763184 -0.366694	0.689697 -0.0139593 -0.666395 0.282915	0.572603 -0.00335484 -0.0743968 0.816443	0.5746 0.50999 0.294638 0.568272	0.610454 0.466477 0.33552 0.545135	0.620041 0.400473 0.281074 0.613325	0.667946 -0.0466771 0.116083 0.733617	0.4029 -0.0808618 0.0954742 0.906652	0.404378 -0.158829 0.116472 0.893133	0.759688 -0.0386398 0.032695 0.648314	0.676344 -0.0422862 0.0278187 0.734845	0.696325 0.0377716 -0.0268409 0.716229	
0.791854 -0.0630653 0.0361655 0.606368	0.755682 -0.0549783 0.0334576 0.651768	0.745508 -0.0577325 0.0236885 0.663569	0.685232 0.0612199 -0.0509298 0.723958	0.673508 0.0815297 -0.0742671 0.730907	0.682244 0.0542505 -0.104382 0.721598	0.728386 0.0342892 -0.176103 0.66126	0.713691 0.195157 0.054484 0.670515	0.496196 -0.199129 -0.518056 0.667649	-0.531577 -0.0573557 0.771006 -0.345958	0.693539 -0.0157026 -0.672236 0.258565	0.575146 -0.0179333 -0.0718328 0.814693	0.575576 0.498635 0.292921 0.578164	0.609928 0.455974 0.33372 0.555614	0.620531 0.388953 0.277485 0.621819	0.684363 -0.0439131 0.118785 0.71806	0.389302 -0.0827579 0.0958609 0.912363	0.368597 -0.184289 0.116226 0.903695	0.751505 -0.0339265 0.0273091 0.658288	0.675545 -0.0366924 0.0234619 0.736032	0.694541 0.0378527 -0.0271264 0.717944	
0.79253 -0.0627404 0.0448022 0.60494	0.755871 -0.05762 0.0398181 0.650963	0.745274 -0.0605239 0.0300759 0.663325	0.686069 0.0528449 -0.0442132 0.724266	0.67481 0.072393 -0.0675962 0.731315	0.683914 0.0449471 -0.0981253 0.721535	0.730613 0.0281514 -0.169675 0.660775	0.712736 0.183749 0.0625749 0.674039	0.49495 -0.209384 -0.515593 0.667343	-0.533847 -0.0618471 0.777585 -0.326411	0.697974 -0.0205533 -0.676484 0.234049	0.57742 -0.0323744 -0.0690156 0.812881	0.574539 0.48514 0.294049 0.589982	0.607864 0.442671 0.335618 0.567366	0.619961 0.373896 0.27703 0.631747	0.699283 -0.0437631 0.123413 0.702749	0.379275 -0.0874312 0.0974768 0.915972	0.344306 -0.20022 0.127102 0.908411	0.7436 -0.0311717 0.0237433 0.667476	0.675258 -0.0333303 0.0206036 0.73654	0.693075 0.0380628 -0.0272985 0.719342	
0.792937 -0.0617666 0.0523547 0.6039	0.756153 -0.0595765 0.0453828 0.650095	0.745334 -0.0627396 0.0356318 0.662775	0.686454 0.0444979 -0.0379453 0.724818	0.675454 0.0632551 -0.0611441 0.732135	0.684688 0.0352865 -0.0919327 0.722154	0.732192 0.0210146 -0.163223 0.660917	0.710887 0.172595 0.0693395 0.678265	0.493486 -0.220013 -0.513336 0.666748	-0.536451 -0.0644551 0.782772 -0.308763	0.703137 -0.0269916 -0.678591 0.210674	0.57843 -0.0463395 -0.0659473 0.81174	0.571902 0.469996 0.297459 0.602951	0.604662 0.427028 0.340648 0.579647	0.618418 0.356624 0.279643 0.642011	0.712106 -0.0449146 0.12921 0.688616	0.373418 -0.0932635 0.100072 0.917522	0.337801 -0.210217 0.146959 0.905595	0.735995 -0.0315146 0.0237796 0.675835	0.675152 -0.0334427 0.0209815 0.736621	0.691377 0.0374531 -0.0277264 0.72099	
0.793283 -0.0594764 0.0586574 0.603095	0.756461 -0.0600057 0.0500766 0.649353	0.745461 -0.063443 0.0403497 0.662295	0.686502 0.0369172 -0.0324695 0.725464	0.675662 0.0547609 -0.0554828 0.733078	0.684767 0.0262913 -0.0864358 0.72314	0.733186 0.0142078 -0.157293 0.661435	0.708762 0.161305 0.0749893 0.682652	0.491885 -0.230818 -0.511464 0.665715	-0.539469 -0.064818 0.786469 -0.293665	0.707319 -0.0300841 -0.680053 0.190586	0.578066 -0.0598997 -0.0630916 0.811339	0.565592 0.452729 0.303741 0.618776	0.598398 0.408384 0.34994 0.593872	0.618167 0.33405 0.287274 0.650964	0.723233 -0.0477749 0.136483 0.675295	0.371628 -0.100804 0.103675 0.917051	0.344302 -0.212673 0.171302 0.898266	0.729364 -0.030691 0.0226212 0.683063	0.674958 -0.0323319 0.0202064 0.73687	0.689569 0.037593 -0.0283226 0.722689	
0.793504 -0.0566403 0.0635958 0.602577	0.756597 -0.0594631 0.0537871 0.648947	0.745524 -0.063226 0.0440535 0.662009	0.686359 0.0301985 -0.0279874 0.726097	0.675573 0.0469417 -0.0508592 0.734038	0.684141 0.017635 -0.0820745 0.724503	0.733241 0.00740657 -0.151986 0.662723	0.706506 0.14986 0.0798211 0.687037	0.490458 -0.242087 -0.50973 0.664093	-0.54333 -0.0628393 0.788541 -0.281155	0.711798 -0.0327291 -0.679692 0.174044	0.577478 -0.0729763 -0.0602113 0.810906	0.559348 0.435858 0.309695 0.633441	0.593292 0.38839 0.36073 0.605831	0.62042 0.311251 0.294922 0.656675	0.732772 -0.0504931 0.143226 0.663312	0.375142 -0.107315 0.107455 0.914443	0.359984 -0.210601 0.196163 0.887456	0.723355 -0.0293552 0.0209841 0.689533	0.674903 -0.0307114 0.0189439 0.737024	0.687909 0.0373889 -0.0294306 0.724235	
0.793563 -0.0535777 0.0668376 0.602428	0.75658 -0.0580049 0.0563455 0.648881	0.745376 -0.0619561 0.0467604 0.66211	0.685977 0.0243618 -0.0242024 0.726812	0.67518 0.039923 -0.0470068 0.735071	0.682816 0.00918917 -0.0783159 0.726323	0.732332 0.00085738 -0.147612 0.664755	0.70392 0.138821 0.0838967 0.691511	0.489061 -0.253456 -0.508336 0.661947	-0.547723 -0.0584784 0.789198 -0.271562	0.715919 -0.0369572 -0.677801 0.163339	0.577282 -0.0857447 -0.0575409 0.809989	0.556642 0.421146 0.313626 0.643758	0.592235 0.369422 0.370206 0.612971	0.626147 0.290177 0.301207 0.658036	0.740648 -0.0530584 0.149305 0.652942	0.384177 -0.112563 0.11152 0.909561	0.378357 -0.206681 0.218427 0.875453	0.718421 -0.0289285 0.0201715 0.694714	0.674421 -0.0301122 0.0183577 0.737504	0.686337 0.037253 -0.0296963 0.725722	
0.793376 -0.0509254 0.0694707 0.602607	0.756328 -0.0567026 0.0585916 0.649091	0.745104 -0.0607551 0.0491906 0.662351	0.685422 0.0191116 -0.0207665 0.727599	0.67456 0.0335198 -0.0436392 0.736166	0.681007 0.000922512 -0.0749808 0.728427	0.730505 -0.00595505 -0.143967 0.667533	0.701046 0.12795 0.0873 0.69609	0.487347 -0.264397 -0.507455 0.659603	-0.552037 -0.051649 0.788742 -0.265467	0.720645 -0.0440391 -0.673926 0.156698	0.577312 -0.0978876 -0.0551843 0.808754	0.556353 0.408294 0.316608 0.65079	0.593508 0.352107 0.378548 0.616822	0.63728 0.273325 0.304961 0.652814	0.747307 -0.0545067 0.15336 0.644237	0.398063 -0.115105 0.11507 0.902804	0.398379 -0.20193 0.235056 0.863289	0.714747 -0.0281845 0.0189248 0.698559	0.673031 -0.0292346 0.0172583 0.738835	0.685054 0.0371892 -0.0298888 0.726929	
0.793161 -0.0489763 0.0711615 0.602854	0.756117 -0.0558722 0.0602459 0.649257	0.744929 -0.0599261 0.0511111 0.662478	0.684904 0.0140108 -0.0176722 0.728284	0.673875 0.027335 -0.0405641 0.737225	0.67863 -0.00753695 -0.0720592 0.730898	0.727858 -0.0128587 -0.140704 0.671014	0.698347 0.117841 0.0903956 0.700181	0.486105 -0.27537 -0.507131 0.656271	-0.557113 -0.0418512 0.786622 -0.262868	0.724906 -0.0561566 -0.66947 0.152207	0.577107 -0.109773 -0.052927 0.807525	0.556419 0.396292 0.319894 0.65652	0.595054 0.3355 0.387245 0.619186	0.652143 0.259429 0.307249 0.642654	0.752689 -0.0547202 0.155984 0.637286	0.41581 -0.115122 0.118626 0.894302	0.421647 -0.19688 0.245483 0.850406	0.712149 -0.0278907 0.0183197 0.701234	0.670754 -0.0288956 0.0166897 0.740929	0.683938 0.0368699 -0.0295845 0.728007	
0.792745 -0.0482655 0.0734342 0.603186	0.755856 -0.0558043 0.06232 0.649372	0.74486 -0.0598667 0.0533934 0.662381	0.684297 0.00885646 -0.0144811 0.729006	0.673042 0.0212143 -0.0374764 0.73835	0.675786 -0.0153209 -0.0691555 0.733686	0.724679 -0.0192882 -0.137892 0.674873	0.695974 0.108708 0.0933626 0.703623	0.484722 -0.285907 -0.507524 0.652473	-0.561995 -0.0293152 0.783432 -0.263698	0.728922 -0.0726089 -0.663671 0.151462	0.577033 -0.121028 -0.050807 0.806104	0.556743 0.384728 0.323851 0.661168	0.596587 0.319472 0.396363 0.620417	0.671522 0.248241 0.309455 0.625838	0.756717 -0.0542719 0.156806 0.632334	0.436744 -0.112996 0.121513 0.88415	0.450023 -0.189807 0.249724 0.836117	0.711001 -0.0262166 0.0162653 0.702514	0.66715 -0.0271535 0.0146476 0.744285	0.683383 0.037133 -0.0298653 0.728503	
0.792529 -0.0486234 0.0762095 0.603097	0.755785 -0.0562391 0.0648312 0.649171	0.744952 -0.0604514 0.0559587 0.662012	0.683612 0.00328192 -0.011466 0.729748	0.672051 0.0147811 -0.0346144 0.739547	0.672552 -0.0225928 -0.0664112 0.736717	0.721379 -0.0253971 -0.135199 0.678741	0.69395 0.10056 0.0960172 0.706472	0.483017 -0.295913 -0.508682 0.648362	-0.566264 -0.0146275 0.779613 -0.267084	0.734205 -0.0922869 -0.654737 0.154097	0.576124 -0.131854 -0.0484636 0.8052	0.554532 0.372162 0.329692 0.667303	0.595232 0.302835 0.407484 0.622854	0.686833 0.235534 0.316239 0.610554	0.759493 -0.0536484 0.157257 0.628937	0.460059 -0.109878 0.124638 0.872203	0.481339 -0.17639 0.249726 0.821484	0.710827 -0.0244353 0.0142348 0.702798	0.662423 -0.0253294 0.0125751 0.748596	0.68331 0.0378548 -0.0305173 0.728507	
0.792832 -0.0499604 0.0785425 0.602289	0.755855 -0.0573601 0.0673487 0.648735	0.74499 -0.0617109 0.0585655 0.661628	0.68315 -0.00250775 -0.00861393 0.730223	0.671205 0.00826607 -0.0319527 0.740536	0.668864 -0.0294812 -0.0639691 0.740041	0.717496 -0.0312685 -0.133205 0.682992	0.692334 0.0934849 0.098775 0.708645	0.48267 -0.307205 -0.509404 0.642778	-0.572131 0.00333786 0.773295 -0.273257	0.736805 -0.109098 -0.647784 0.159973	0.57546 -0.14157 -0.0457993 0.80418	0.550643 0.358628 0.337225 0.674135	0.591993 0.285247 0.420686 0.625461	0.695897 0.223025 0.323446 0.601141	0.760651 -0.0526428 0.157762 0.627495	0.485263 -0.105682 0.128419 0.858406	0.515298 -0.161069 0.24502 0.805289	0.711378 -0.0236419 0.0131944 0.702288	0.656767 -0.0245639 0.0113862 0.753608	0.683651 0.0377796 -0.0331531 0.728076	
0.793668 -0.0523161 0.0796095 0.600846	0.756209 -0.0592768 0.0690551 0.64797	0.745316 -0.0636308 0.0604482 0.660909	0.682888 -0.00795844 -0.00627936 0.730453	0.670393 0.00217622 -0.0297231 0.741407	0.664894 -0.035548 -0.0618393 0.743524	0.713422 -0.0369003 -0.131752 0.687247	0.690456 0.0866214 0.100257 0.711137	0.483257 -0.318456 -0.510445 0.635998	-0.578276 0.0234104 0.765424 -0.28138	0.738598 -0.12176 -0.640345 0.172062	0.574644 -0.150627 -0.0428154 0.803283	0.544804 0.343757 0.34648 0.681888	0.58602 0.267509 0.434883 0.629203	0.698247 0.20686 0.337368 0.596526	0.760637 -0.0508485 0.157736 0.627667	0.511595 -0.0999433 0.132202 0.843092	0.548438 -0.149895 0.234042 0.788652	0.711779 -0.0240764 0.0140632 0.70185	0.651 -0.0251617 0.0120141 0.758565	0.684973 0.0375707 -0.0356489 0.726725	
